,Low-Fat vs Low-Carbohydrate Diet on Weight Loss in Overweight Adults Original Investigation Research
0,Table 2. Dietary Intake by Time Point
1,Healthy Low-Fat Diet Healthy Low-Carbohydrate Diet
2,No. of No. of
3,aParticipants Mean (SD) Participants Mean (SD) Mean Between-Group Difference (95% CI)
4,"Total Energy Intake, kcal"
5,Baseline 304 2148.1 (39.4) 304 2222.8 (37.5) −76.3 (−166.1 to 13.4)
6,3 mo 274 1515.0 (27.7) 275 1580.8 (29.1) −56.9 (−150.2 to 36.4)
7,6 mo 240 1624.4 (37.3) 251 1621.3 (33.2) 0.2 (−96.9 to 97.3)
8,12 mo 225 1716.1 (34.5) 224 1697.1 (32.1) 2.9 (−97.2 to 103.0)
9,"Carbohydrates, g"
10,Baseline 304 241.8 (5.0) 304 246.5 (4.5) −4.9 (−16.6 to 6.9)
11,3 mo 274 205.2 (4.3) 275 96.6 (3.4) 109.0 (96.8 to 121.2)
12,6 mo 240 211.2 (5.3) 251 113.2 (4.1) 95.6 (83.0 to 108.3)
13,12 mo 225 212.9 (5.0) 224 132.4 (4.2) 74.2 (61.2 to 87.2)
14,"Carbohydrates, % kcal"
15,Baseline 304 44.5 (0.5) 304 44.0 (0.4) 0.5 (−1.1 to 2.1)
16,3 mo 274 52.6 (0.6) 275 23.1 (0.7) 29.4 (27.8 to 31.0)
17,6 mo 240 50.8 (0.7) 251 26.5 (0.7) 24.1 (22.4 to 25.8)
18,12 mo 225 48.4 (0.7) 224 29.8 (0.7) 17.8 (16.0 to 19.5)
19,"Fat, g"
20,Baseline 304 87.0 (2.0) 304 92.6 (1.9) −5.6 (−10.4 to −0.8)
21,3 mo 274 42.0 (1.2) 275 88.8 (2.0) −46.2 (−51.2 to −41.2)
22,6 mo 240 50.3 (1.8) 251 86.6 (2.0) −36.0 (−41.2 to −30.8)
23,12 mo 225 57.3 (1.7) 224 86.2 (2.0) −28.4 (−33.8 to −23.0)
24,"Fat, % kcal"
25,Baseline 304 34.8 (0.4) 304 36.0 (0.3) −1.2 (−2.4 to 0.1)
26,3 mo 274 24.0 (0.5) 275 49.0 (0.5) −24.9 (−26.2 to −23.6)
27,6 mo 240 26.4 (0.6) 251 46.8 (0.6) −20.3 (−21.7 to −18.9)
28,12 mo 225 28.7 (0.5) 224 44.6 (0.6) −15.4 (−16.8 to −14.0)
29,"Protein, g"
30,Baseline 304 92.1 (1.7) 304 93.1 (1.6) −1.1 (−5.8 to 3.6)
31,3 mo 274 79.5 (1.6) 275 96.9 (2.0) −17.1 (−22.0 to −12.2)
32,6 mo 240 81.9 (1.9) 251 93.8 (1.9) −11.6 (−16.6 to −6.5)
33,12 mo 225 84.5 (1.8) 224 93.3 (2.0) −8.5 (−13.8 to −3.3)
34,"Protein, % kcal"
35,Baseline 304 17.9 (0.3) 304 17.3 (0.2) 0.6 (−0.4 to 1.5)
36,3 mo 274 21.5 (0.4) 275 25.9 (0.4) −4.4 (−5.4 to −3.5)
37,6 mo 240 20.8 (0.4) 251 24.3 (0.4) −3.5 (−4.5 to −2.5)
38,12 mo 225 20.6 (0.4) 224 22.9 (0.4) −2.1 (−3.2 to −1.1)
39,"Saturated Fat, g"
40,Baseline 304 28.9 (0.7) 304 30.8 (0.7) −1.9 (−3.7 to −0.1)
41,3 mo 274 12.7 (0.4) 275 29.1 (0.7) −16.2 (−18.1 to −14.3)
42,6 mo 240 15.3 (0.7) 251 27.9 (0.7) −12.4 (−14.4 to −10.5)
43,12 mo 225 18.2 (0.6) 224 28.2 (0.8) −9.8 (−11.8 to −7.8)
44,"Saturated Fat, % kcal"
45,Baseline 304 11.5 (0.2) 304 11.9 (0.2) −0.4 (−0.9 to 0.2)
46,3 mo 274 7.2 (0.2) 275 16.1 (0.3) −8.8 (−9.4 to −8.2)
47,6 mo 240 8.0 (0.2) 251 15.0 (0.3) −7.0 (−7.6 to −6.4)
48,12 mo 225 9.0 (0.2) 224 14.5 (0.3) −5.3 (−5.9 to −4.7)
49,"Fiber, g"
50,Baseline 304 22.0 (0.6) 304 21.6 (0.5) 0.4 (−1.2 to 1.9)
51,3 mo 274 24.2 (0.7) 275 16.7 (0.8) 7.5 (5.9 to 9.1)
52,6 mo 240 23.7 (0.7) 251 17.2 (0.5) 6.5 (4.8 to 8.2)
53,12 mo 225 23.0 (0.6) 224 18.6 (0.5) 4.1 (2.3 to 5.8)
